,work,composer,librettist,theatre,date
5168,Marriage of Figaro,Wolfgang Amadeus Mozart,Lorenzo da Ponte,New Athenaeum Theatre,1998-05-04
5169,Marriage of Figaro,Wolfgang Amadeus Mozart,Lorenzo da Ponte,New Athenaeum Theatre,1998-05-06
5170,Marriage of Figaro,Wolfgang Amadeus Mozart,Lorenzo da Ponte,New Athenaeum Theatre,1998-05-08
5171,Marriage of Figaro,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"Festival Theatre, Edinburgh",1998-05-11
5172,Marriage of Figaro,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"Festival Theatre, Edinburgh",1998-05-13
5173,Queen of Spades,Pyotr Ilyich Tchaikovsky,Modest Tchaikovsky,"Theatre Royal, Glasgow",1998-05-05
5174,Queen of Spades,Pyotr Ilyich Tchaikovsky,Modest Tchaikovsky,"Theatre Royal, Glasgow",1998-05-09
5175,Queen of Spades,Pyotr Ilyich Tchaikovsky,Modest Tchaikovsky,"Theatre Royal, Glasgow",1998-05-12
5176,Traviata,Giuseppe Verdi,Francesco Maria  Piave,"Theatre Royal, Glasgow",1998-05-23
5177,Traviata,Giuseppe Verdi,Francesco Maria  Piave,"Theatre Royal, Glasgow",1998-05-26
5178,Traviata,Giuseppe Verdi,Francesco Maria  Piave,"Theatre Royal, Glasgow",1998-05-30
5179,Traviata,Giuseppe Verdi,Francesco Maria  Piave,"Theatre Royal, Glasgow",1998-06-02
5180,Traviata,Giuseppe Verdi,Francesco Maria  Piave,"Theatre Royal, Glasgow",1998-06-04
