,date,work,composer
11025,1929-12-22,The Magic Flute,Wolfgang Amadeus Mozart
11026,1930-01-06,Eugen Onegin,Pyotr Ilyich Tchaikovsky
11027,1930-01-06,The Bartered Bride,Bedřich Smetana
11028,1930-01-11,Veselé ženy windsorské,Otto Nicolai
11029,1930-01-15,Cavalleria rusticana,Pietro Mascagni
11030,1930-01-15,I Pagliacci,Ruggiero Leoncavallo
11031,1930-01-16,Carmen,Georges Bizet
11032,1930-01-19,The Bartered Bride,Bedřich Smetana
11033,1930-01-19,Madama Butterfly,Giacomo Puccini
11034,1930-01-20,Car a tesař,Gustav Albert Lortzing
11035,1930-01-22,Rigoletto,Giuseppe Verdi
11036,1930-01-24,Čarostřelec,Carl Maria von Weber
11037,1930-01-28,The Magic Flute,Wolfgang Amadeus Mozart
11038,1930-01-30,Eugen Onegin,Pyotr Ilyich Tchaikovsky
11039,1930-02-04,The Kiss,Bedřich Smetana
11040,1930-02-06,The Devil and Kate,Antonín Dvořák
11041,1930-02-08,Madama Butterfly,Giacomo Puccini
11042,1930-02-09,The Bartered Bride,Bedřich Smetana
11043,1930-02-09,Rusalka,Antonín Dvořák
11044,1930-02-17,Veselé ženy windsorské,Otto Nicolai
11045,1930-02-19,Veselé ženy windsorské,Otto Nicolai
11046,1930-02-22,Madama Butterfly,Giacomo Puccini
11047,1930-02-24,Rigoletto,Giuseppe Verdi
11048,1930-02-27,Veselé ženy windsorské,Otto Nicolai
11049,1930-03-01,Troubadour,Giuseppe Verdi
11050,1930-03-02,Eugen Onegin,Pyotr Ilyich Tchaikovsky
11051,1930-03-03,Les contes dHoffmann,Jacques Offenbach
11052,1930-03-05,Pikovaya Dama,Pyotr Ilyich Tchaikovsky
11053,1930-03-09,Troubadour,Giuseppe Verdi
11054,1930-03-11,Pikovaya Dama,Pyotr Ilyich Tchaikovsky
11055,1930-03-15,The Bartered Bride,Bedřich Smetana
11056,1930-03-15,La Traviata,Giuseppe Verdi
11057,1930-03-17,Il barbiere di Siviglia,Gioacchino Rossini
11058,1930-03-20,Rusalka,Antonín Dvořák
11059,1930-03-26,Židovka,Jacques Fromental Elie Halévy
11060,1930-03-31,Mignon,Ambroise Thomas
11061,1930-04-02,Postilion z Lonjumeau,Adolphe Charles Adam
11062,1930-04-04,Postilion z Lonjumeau,Adolphe Charles Adam
11063,1930-04-07,Postilion z Lonjumeau,Adolphe Charles Adam
11064,1930-04-11,The Secret,Bedřich Smetana
11065,1930-04-12,Postilion z Lonjumeau,Adolphe Charles Adam
11066,1930-04-13,Il barbiere di Siviglia,Gioacchino Rossini
11067,1930-04-23,Postilion z Lonjumeau,Adolphe Charles Adam
11068,1930-04-24,Troubadour,Giuseppe Verdi
11069,1930-05-03,Les contes dHoffmann,Jacques Offenbach
11070,1930-05-04,Postilion z Lonjumeau,Adolphe Charles Adam
11071,1930-05-05,Madama Butterfly,Giacomo Puccini
11072,1930-05-06,Mignon,Ambroise Thomas
11073,1930-05-10,Postilion z Lonjumeau,Adolphe Charles Adam
11074,1930-05-14,Židovka,Jacques Fromental Elie Halévy
11075,1930-05-16,Postilion z Lonjumeau,Adolphe Charles Adam
11076,1930-05-19,The Magic Flute,Wolfgang Amadeus Mozart
11077,1930-05-20,Cavalleria rusticana,Pietro Mascagni
11078,1930-05-20,I Pagliacci,Ruggiero Leoncavallo
11079,1930-05-22,Postilion z Lonjumeau,Adolphe Charles Adam
11080,1930-05-24,Carmen,Georges Bizet
11081,1930-05-28,Maškarní ples,Giuseppe Verdi
11082,1930-05-29,Madama Butterfly,Giacomo Puccini
11083,1930-05-30,Postilion z Lonjumeau,Adolphe Charles Adam
11084,1930-06-02,Cavalleria rusticana,Pietro Mascagni
11085,1930-06-02,I Pagliacci,Ruggiero Leoncavallo
11086,1930-06-04,The Marriage of Figaro,Wolfgang Amadeus Mozart
