,composer,complete_name,dates,uri,work
1776,Holbek,Joachim Holbek,(b.1957),http://operabase.com/visual.cgi??lang=en&is=opera&by=Holbek,The Rosenbergs 
1777,Auzet,Roland Auzet,(b.1964),http://operabase.com/visual.cgi??lang=en&is=opera&by=Auzet,Steve V 
1778,Auzet,Roland Auzet,(b.1964),http://operabase.com/visual.cgi??lang=en&is=opera&by=Auzet,HIP 127 
1779,Paliashvili,Zakhary Paliashvili,(1871–1933),http://operabase.com/visual.cgi??lang=en&is=opera&by=Paliashvili,Abesalom da Eteri 
1780,Selmeczi,György Selmeczi,(b.1952),http://operabase.com/visual.cgi??lang=en&is=opera&by=Selmeczi,Byzantium 
1781,Selmeczi,György Selmeczi,(b.1952),http://operabase.com/visual.cgi??lang=en&is=opera&by=Selmeczi,I spiritisti 
1782,Ehrenberg,Vladimir Georgiyevich Ehrenberg,(1874–1923),http://operabase.com/visual.cgi??lang=en&is=opera&by=Ehrenberg,Vampuka 
1783,Gough,Orlando Gough,(b.1953),http://operabase.com/visual.cgi??lang=en&is=opera&by=Gough,Road Rage [c]
1784,Gough,Orlando Gough,(b.1953),http://operabase.com/visual.cgi??lang=en&is=opera&by=Gough,Imago [c]
1785,Gough,Orlando Gough,(b.1953),http://operabase.com/visual.cgi??lang=en&is=opera&by=Gough,Voices 
1786,Moravec,Paul Moravec,(b.1957),http://operabase.com/visual.cgi??lang=en&is=opera&by=Moravec,The Shining 
1787,Moravec,Paul Moravec,(b.1957),http://operabase.com/visual.cgi??lang=en&is=opera&by=Moravec,Danse Russe 
1788,Moravec,Paul Moravec,(b.1957),http://operabase.com/visual.cgi??lang=en&is=opera&by=Moravec,The King's Man 
1789,Zeisl,Erich Zeisl,(1905–1959),http://operabase.com/visual.cgi??lang=en&is=opera&by=Zeisl,Leonce und Lena 
