"","work_x","composer_x","work_key"
"13686","The Last Savage","Menotti","Q3007234"
"6048","The Lighthouse","Davies","Q3521580"
"10168","The Little Sweep","Britten","Q467698"
"44304","The Love for Three Oranges","Prokofiev","Q907735"
"24","The Magic Flute","Mozart","Q5064"
"49867","The Makropulos Affair","Janácek","Q1142221"
"6872","The Man Who Mistook His Wife for a Hat","Nyman","Q2680386"
"571","The Marriage of Figaro","Mozart","Q201873"
"1488","The Medium","Menotti","Q1169743"
"1335","The Merry Widow","Lehár","Q478202"
"8262","The Merry Wives of Windsor","Nicolai","Q615663"
"25830","The Midsummer Marriage","Tippett","Q3521869"
"336","The Mikado","Sullivan","Q1195818"
"33046","The Mother of Us All","Thomson","Q7752429"
"48582","The New Moon","Romberg","Q7753681"
"45912","The Nightingale","Strouse","Q2450365"
"1599","The Nightingale","Stravinsky","Q2450365"
"10242","The Nose","Shostakovich","Q2367888"
"9977","The Old Maid and the Thief","Menotti","Q487249"
"6126","The Passenger","Weinberg","Q822967"
"69","The Pearl Fishers","Bizet","Q56159"
"4312","The Perfect American","Glass","Q3522206"
"5169","The Picture of Dorian Gray","Liebermann","Q7757061"
"1018","The Pirates of Penzance","Sullivan","Q1215463"
"44127","The Postman Always Rings Twice","Paulus","Q7757874"
"59463","The Prodigal Son","Britten","Q3522335"
"14338","The Queen of Spades","Tchaikovsky","Q221047"
"4534","The Rake's Progress","Stravinsky","Q539339"
"429","The Rape of Lucretia","Britten","Q240685"
"22599","The Return of Ulysses","Monteverdi","Q12042251"
"21840","The Saint of Bleecker Street","Menotti","Q3989123"
"37831","The Second Hurricane","Copland","Q7762930"
"22474","The Sound of A Voice","Glass","Q3522787"
"19119","The Student Prince","Romberg","Q2414478"
"6291","The Telephone","Menotti","Q1170527"
"11708","The Tempest","Hoiby","Q10577168"
"11707","The Tempest","Hoiby","Q3022126"
"24137","The Tempest","Adès","Q3022126"
"24138","The Tempest","Adès","Q10577168"
"3303","The Tender Land","Copland","Q4353383"
"3964","The Trial","Glass","Q19947755"
"3963","The Trial","Glass","Q30611737"
"39609","The Tsar's Bride","Rimsky-Korsakov","Q900225"
"512","The Turn of the Screw","Britten","Q464606"
"42010","The Two Widows","Smetana","Q232134"
"53336","The Vagabond King","Friml","Q7771892"
"49202","The Voyage","Glass","Q3523251"
"59691","The Voyage of Edgar Allan Poe","Argento","Q54990752"
"2028","Tiefland","d'Albert","Q1398735"
"1549","To Be Sung","Dusapin","Q48759949"
"15548","Tolomeo","Handel","Q1419468"
"10","Tosca","Puccini","Q192941"
"44486","Transatlantic","Antheil","Q3537386"
"18912","Treemonisha","Joplin","Q775812"
"12222","Trial by Jury","Sullivan","Q250903"
"20484","Tristan und Isolde","Wagner","Q1324254"
"1536","Turandot","Puccini","Q28529634"
"1537","Turandot","Puccini","Q207990"
"1535","Turandot","Puccini","Q2843864"
"1538","Turandot","Puccini","Q28529637"
"2101","Un ballo in maschera","Verdi","Q221757"
"47797","Un re in ascolto","Berio","Q7882067"
"19892","Una cosa rara","Martin y Soler","Q3781653"
"10847","Van Gogh","Gordon","Q77614"
"5588","Vanessa","Barber","Q1545849"
"2476","Venus and Adonis","Blow","Q381965"
"38660","Venus and Adonis","Henze","Q381965"
"23144","Waiting for the Barbarians","Glass","Q2390578"
"19240","War and Peace","Prokofiev","Q785515"
"2907","Werther","Massenet","Q926468"
"3154","William Tell","Rossini","Q729659"
"13722","Wozzeck","Gurlitt","Q45784"
"6542","Wozzeck","Berg","Q45784"
"2346","Written on Skin","Benjamin","Q8012986"
"8024","Wuthering Heights","Floyd","Q4021131"
"14195","Wuthering Heights","Herrmann","Q4021131"
"0","Lysistrata, The Nude Goddess","Adamo","Q6710250"
"1","I Was Looking at the Ceiling, and Then I Saw the Sky","Adams","Q953293"
"2","Galileo","Akiho","Q3094742"
"3","The Anxiety of Immortality","Barber","Q1038931"
"4","The Magic Is You","Beahm","Q5064"
"5","I Have No Stories to Tell You","Beecher","Q729659"
"6","Beatrice and Benedict","Berlioz","Q791661"
"7","The Trojans","Berlioz","Q472325"
"8","Beatrice et Benedict","Berlioz","Q791661"
"9","The Damnation of Faust","Berlioz","Q1144992"
"10","Mephistopheles","Boito","Q745951"
"11","Mephistopheles","Boito","Q1126880"
"12","Die Vogel","Braunfels","Q1217323"
"13","Noah's Flood","Britten","Q1475053"
"14","Noah's Flood","Britten","Q1475053"
"15","The Midnight Angel","Carlson","Q47004984"
"16","Florencia en el Amazonas (Florencia in the Amazon)","Catán","Q5460844"
"17","L'Orontea","Cesti","Q3268790"
"18","Buoso's Ghost","Ching","Q727868"
"19","A Midsummer Night's Dream - Opera a Capella","Ching","Q7197704"
"20","The Secret Marriage","Cimarosa","Q7750400"
"21","Tell-Tale Heart","Copeland","Q7738734"
"22","A Talent to Amuse","Coward","Q185968"
"23","Rio de Sangre","Davis","Q24037997"
"24","Pelleas et Melisande","Debussy","Q368019"
"25","Lakme","Delibes","Q776107"
"26","The Daughter of the Regiment","Donizetti","Q729568"
"27","Lucia of Lammermoor","Donizetti","Q244209"
"28","Lucretia Borgia","Donizetti","Q685501"
"29","The Elixir of Love","Donizetti","Q332536"
"30","Dom Sébastien, roi de Portugal","Donizetti","Q846809"
"31","Il campanello di notte","Donizetti","Q464664"
"32","Viva la Mamma!","Donizetti","Q681820"
"33","La Fille du regiment","Donizetti","Q729568"
"34","Twilight of the Gods","Dove","Q272029"
"35","The Sorcerer's Daughter","Ferrero","Q3989381"
"36","André Chénier","Giordano","Q493656"
"37","Andrea Chenier","Giordano","Q493656"
"38","Orphee","Glass","Q3885615"
"39","Orpheus & Euridice","Gordon","Q3885615"
"40","Romeo et Juliette","Gounod","Q918714"
"41","Zemire et Azor","Grétry","Q684721"
"42","Xerxes","Handel","Q1069133"
"43","Il mondo della luna (Life on the Moon)","Haydn","Q11926492"
"44","Il mondo della luna (Life on the Moon)","Haydn","Q1037479"
"45","Blue Viola","Hilliard","Q3489036"
"46","Hansel und Gretel","Humperdinck","Q1099668"
"47","Hänsel und Gretel","Humperdinck","Q1099668"
"48","The Makropulos Case","Janácek","Q1142221"
"49","Jenufa","Janácek","Q1196783"
