,work,date,language,work_url
24821,Jérusalem,1999-02-25,in französischer Sprache,https://archiv.wiener-staatsoper.at/performances/711
24822,Un ballo in maschera,1999-02-26,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/8552
24823,Die schweigsame Frau,1999-02-27,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/13248
24824,Siegfried,1999-02-28,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/11981
24825,La Bohème (Puccini),1999-03-01,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/13355
24826,La traviata,1999-03-02,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/6863
24827,Die schweigsame Frau,1999-03-03,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/13251
24828,Il barbiere di Siviglia,1999-03-04,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/10613
24829,La traviata,1999-03-05,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/6865
24830,La Bohème (Puccini),1999-03-06,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/13356
24831,Götterdämmerung,1999-03-07,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/12045
24832,Hérodiade,1999-03-08,in französischer Sprache,https://archiv.wiener-staatsoper.at/performances/14057
24833,Rigoletto,1999-03-09,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/6518
24834,Ariadne auf Naxos,1999-03-10,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/11897
24835,Hérodiade,1999-03-12,in französischer Sprache,https://archiv.wiener-staatsoper.at/performances/14059
24836,Rigoletto,1999-03-13,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/6520
24837,Ariadne auf Naxos,1999-03-14,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/11898
24838,Rigoletto,1999-03-16,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/6521
24839,Les Contes d'Hoffmann,1999-03-17,in französischer Sprache,https://archiv.wiener-staatsoper.at/performances/13294
24840,I puritani,1999-03-19,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/2203
24841,Les Contes d'Hoffmann,1999-03-20,in französischer Sprache,https://archiv.wiener-staatsoper.at/performances/13295
24842,Pagliacci,1999-03-21,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/4325
24843,Cavalleria rusticana,1999-03-21,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/8050
24844,I puritani,1999-03-22,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/2204
24845,Pagliacci,1999-03-24,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/4326
