clean_name,other_names,year_of_birth,year_of_death,place_of_birth,gender,source,operabase_name,stanford_name
"Avossa, Giuseppe","Avossa [d'Avossa, Avosa, Avos, d'Anosa], Giuseppe",1708,1796,Italy,,opera.stanford,,"Avossa [d'Avossa, Avosa, Avos, d'Anosa], Giuseppe"
"Avramovski, ",Avramovski,1943,2007,Macedonia,Male,operabase,Avramovski,
"Avshalomov, Aaron","Avshalomov, Aaron",1894,1965,Russia,,opera.stanford,,"Avshalomov, Aaron"
"Ayres, ",Ayres,1965,,United Kingdom,Male,operabase,Ayres,
"Azevedo da Silva,","Azevedo da Silva,",,,Brazil,,opera.stanford,,"Azevedo da Silva,"
"Azku√©, Resurrecci√≥n Mar√≠a de","Azku√© (Aberasturi), Resurrecci√≥n Mar√≠a de",1864,1951,Spain,,opera.stanford,,"Azku√© (Aberasturi), Resurrecci√≥n Mar√≠a de"
"Azmayparashvili, Shalva","Azmayparashvili, Shalva",1903,1957,Georgia,,opera.stanford,,"Azmayparashvili, Shalva"
"Azopardi, Francesco","Azopardi, Francesco",1748,1809,Morocco,,opera.stanford,,"Azopardi, Francesco"
"B√§ck, Sven-Erik","B√§ck, Sven-Erik",1919,,Sweden,,opera.stanford,,"B√§ck, Sven-Erik"
"B√°rdos, Lajos","B√°rdos, Lajos",1899,,Hungary,,opera.stanford,,"B√°rdos, Lajos"
"B√°rta, Josef","B√°rta [Barrta, Bartha, Bartta], Josef",1746,1787,Czechia,,opera.stanford,,"B√°rta [Barrta, Bartha, Bartta], Josef"
"B√°zlik, Miroslav","B√°zlik, Miroslav",1931,,Slovakia,,opera.stanford,,"B√°zlik, Miroslav"
"B√©caud, Gilbert","B√©caud [Silly, Fran√ßois], Gilbert",1927,,France,,opera.stanford,,"B√©caud [Silly, Fran√ßois], Gilbert"
B√©clard dHarcourt,B√©clard d'Harcourt [,,,France,,opera.stanford,,B√©clard d'Harcourt [
"B√©thizy, Jean Laurent de","B√©thizy, Jean Laurent de",1709,1781,France,,opera.stanford,,"B√©thizy, Jean Laurent de"
"B√∂cklin von B√∂cklinsau, Franz Friedrich Siegmund August von,","B√∂cklin von B√∂cklinsau, Franz Friedrich Siegmund August von,",1745,1813,Germany,,opera.stanford,,"B√∂cklin von B√∂cklinsau, Franz Friedrich Siegmund August von,"
"B√∂hner, Ludwig","B√∂hner, (Johann) Ludwig [Louis]",1787,1860,Germany,,opera.stanford,,"B√∂hner, (Johann) Ludwig [Louis]"
"B√∂rtz, Daniel","B√∂rtz, Daniel",1943,,Sweden,,opera.stanford,,"B√∂rtz, Daniel"
"B√∏rresen, Hakon","B√∏rresen, (Aksel Ejnar) Hakon",1876,1954,Denmark,,opera.stanford,,"B√∏rresen, (Aksel Ejnar) Hakon"
"Babayev, Andrei","Babayev, Andrei",1923,1964,Azerbaijan,,opera.stanford,,"Babayev, Andrei"
"Babbi, Cristoforo","Babbi, (Pietro Giovanni) Cristoforo (Bartolomeo Gasparre)",1745,1814,Italy,,opera.stanford,,"Babbi, (Pietro Giovanni) Cristoforo (Bartolomeo Gasparre)"
"Bacarisse, Salvador","Bacarisse, Salvador",1898,1963,Spain,,opera.stanford,,"Bacarisse, Salvador"
"Baccelli, Matteo Pantaleone","Baccelli, Matteo Pantaleone [Papia Leone]",1690,1760,Italy,,opera.stanford,,"Baccelli, Matteo Pantaleone [Papia Leone]"
"Bacewicz, Grazyna","Bacewicz, Grazyna",1909,1969,Poland,,opera.stanford,,"Bacewicz, Grazyna"
"Bach, Jan","Bach, Jan (Morris)",1937,,United States,,opera.stanford,,"Bach, Jan (Morris)"
"Bach, Johann Christian","Bach, Johann [John] Christian",1735,1782,Germany,,opera.stanford,BachJC,"Bach, Johann [John] Christian"
"Bach, Johann Christoph Friedrich","Bach, Johann Christoph Friedrich",1732,1795,Germany,,opera.stanford,,"Bach, Johann Christoph Friedrich"
"Bach, Johann Sebastian ",BachJS,1685,1750,Germany,Male,operabase,BachJS,
"Bach, Leonhard Emil","Bach, Leonhard Emil",1849,1902,Poland,,opera.stanford,,"Bach, Leonhard Emil"
"BachCPE, ",BachCPE,1714,1788,Germany,Male,operabase,BachCPE,
"Bache, Francis Edward","Bache, Francis Edward",1833,1858,United Kingdom,,opera.stanford,BachE,"Bache, Francis Edward"
"Bachelet, Alfred","Bachelet, Alfred",1864,1944,France,,opera.stanford,,"Bachelet, Alfred"
"Bachrich, Sigmund","Bachrich, Sigmund [Sigismund]",1841,1913,Austria,,opera.stanford,,"Bachrich, Sigmund [Sigismund]"
"Bachschmidt, Anton","Bachschmidt [Bachschmid], (Johann) Anton (Adam)",1728,1797,Austria,,opera.stanford,,"Bachschmidt [Bachschmid], (Johann) Anton (Adam)"
"Backman, ",Backman,1961,,Sweden,Female,operabase,Backman,
"Bacon, Ernst","Bacon, Ernst",1898,1980,United States,,opera.stanford,,"Bacon, Ernst"
"Badia, Carlo Agostino","Badia, Carlo Agostino",1672,1738,Italy,,opera.stanford,,"Badia, Carlo Agostino"
"Badings, Henk","Badings, Henk",1907,1987,Germany,,opera.stanford,,"Badings, Henk"
"Baeyens, August","Baeyens, August",1895,1966,Belgium,,opera.stanford,,"Baeyens, August"
"Baguer, Carlos","Baguer, Carlos",1768,1808,Spain,,opera.stanford,,"Baguer, Carlos"
"Baillou, Luigi de","Baillou, Luigi de",1735,1809,Italy,,opera.stanford,,"Baillou, Luigi de"
"Bainton, Edgar","Bainton, Edgar (Leslie)",1880,1956,United Kingdom,,opera.stanford,,"Bainton, Edgar (Leslie)"
"Baird, Tadeusz","Baird, Tadeusz",1928,1981,Poland,,opera.stanford,,"Baird, Tadeusz"
"Balada, Leonardo","Balada, Leonardo",1933,,Spain,,opera.stanford,,"Balada, Leonardo"
"Balanchivadze, Andrey","Balanchivadze, Andrey (Melitonovich)",1906,1992,Georgia,,opera.stanford,,"Balanchivadze, Andrey (Melitonovich)"
"Balanchivadze, Meliton","Balanchivadze, Meliton (Antonovich)",1862,1937,Georgia,,opera.stanford,,"Balanchivadze, Meliton (Antonovich)"
"Balanescu, ",Balanescu,1954,,Romania,Male,operabase,Balanescu,
"Balart, Gabriel","Balart, Gabriel",1824,1893,Spain,,opera.stanford,,"Balart, Gabriel"
"Balasanian, Sergey Artemyevich","Balasanian, Sergey Artem'yevich",1902,1982,Turkmenistan,,opera.stanford,,"Balasanian, Sergey Artem'yevich"
"Balassa, Sándor",Balassa Sándor,1935,,Hungary,Male,operabase,Balassa,
"Balbi, Ignazio","Balbi, Ignazio",,,Italy,,opera.stanford,,"Balbi, Ignazio"
"Balbi, Melchiore","Balbi, Melchiore",1796,1879,Italy,,opera.stanford,,"Balbi, Melchiore"
"Baldassare, Pietro","Baldassare [Baldassari], Pietro",1690,1768,Italy,,opera.stanford,,"Baldassare [Baldassari], Pietro"
"Balducci, ",Balducci,1796,1845,Italy,Male,operabase,Balducci,
"Balfe, Michael William","Balfe, Michael William",1808,1870,Ireland,,opera.stanford,Balfe,"Balfe, Michael William"
"Baliani, Carlo","Baliani [Bagliani, Balliani, Basiliani], Carlo",1680,1747,Italy,,opera.stanford,,"Baliani [Bagliani, Balliani, Basiliani], Carlo"
"Ballaroti, Francesco","Ballaroti, Francesco",1660,1712,Italy,,opera.stanford,,"Ballaroti, Francesco"
"Balmer, Luc","Balmer, Luc",1898,,Germany,,opera.stanford,,"Balmer, Luc"
"Banchieri, ",Banchieri,1568,1634,Italy,Male,operabase,Banchieri,
"Banevich, Sergei","Banevich, Sergei",1941,,Russia,,opera.stanford,Banevich,"Banevich, Sergei"
"Banshchikov, Gennadi","Banshchikov, Gennadi",1943,,Russia,,opera.stanford,,"Banshchikov, Gennadi"
"Bantock,","Bantock,",,,United Kingdom,,opera.stanford,,"Bantock,"
"Bao, ",Bao,1968,,China,Male,operabase,Bao,
"Barab, ",Barab,1921,2014,United States,Male,operabase,Barab,
"Baranovic, Kresimir","Baranovic, Kresimir",1894,1975,Croatia,,opera.stanford,,"Baranovic, Kresimir"
"Barati, George","Barati, George",1913,1996,Hungary,,opera.stanford,,"Barati, George"
"Barbella, Emanuele","Barbella, Emanuele",1718,1777,Italy,,opera.stanford,,"Barbella, Emanuele"
"Barber, Samuel","Barber, Samuel",1910,1981,United States,,opera.stanford,Barber,"Barber, Samuel"
"Barbier, Ren√©","Barbier, Ren√© (Auguste-Ernest)",1890,1981,Belgium,,opera.stanford,,"Barbier, Ren√© (Auguste-Ernest)"
"Barbieri, Carlo Emanuele","Barbieri, Carlo Emanuele [de]",1822,1867,Italy,,opera.stanford,Barbieri,"Barbieri, Carlo Emanuele [de]"
"Barbieri, Francisco Asenjo","Barbieri, Francisco Asenjo",1823,1894,Spain,,opera.stanford,,"Barbieri, Francisco Asenjo"
"Barbosa de Ara√∫jo, Dami√£o","Barbosa de Ara√∫jo, Dami√£o",1778,1856,Brazil,,opera.stanford,,"Barbosa de Ara√∫jo, Dami√£o"
"Barbu, ",Barbu,1903,1984,Romania,Male,operabase,Barbu,
"Bargielski, Zbigniew","Bargielski, Zbigniew",1937,,Poland,,opera.stanford,,"Bargielski, Zbigniew"
"Barilli, Bruno","Barilli, Bruno",1880,1952,Italy,,opera.stanford,,"Barilli, Bruno"
"Barkauskas, Vytautas","Barkauskas, Vytautas",1931,,Lithuania,,opera.stanford,,"Barkauskas, Vytautas"
"Barkin, Elaine R","Barkin, Elaine R(adoff)",1932,,United States,,opera.stanford,,"Barkin, Elaine R(adoff)"
"Barkworth, John","Barkworth, John (Edmond)",1858,1929,United States,,opera.stanford,,"Barkworth, John (Edmond)"
"Barlow, David","Barlow, David (Frederick)",1927,1975,United Kingdom,,opera.stanford,,"Barlow, David (Frederick)"
"Barlow, Fred","Barlow, Fred",1881,1951,France,,opera.stanford,,"Barlow, Fred"
"Barlow, Samuel","Barlow, Samuel (Latham Mitchill)",1892,1982,United States,,opera.stanford,,"Barlow, Samuel (Latham Mitchill)"
"Barnabe, ",Barnabe,1951,,Brazil,Male,operabase,Barnabe,
"Barnett, John","Barnett, John",1802,1890,Canada,,opera.stanford,,"Barnett, John"
"Barraine, Elsa","Barraine, Elsa (Jacqueline)",1910,1999,France,,opera.stanford,,"Barraine, Elsa (Jacqueline)"
"Barraud, Henry","Barraud, Henry",1900,1997,France,,opera.stanford,,"Barraud, Henry"
"Barrera G√≥mez, Enrique","Barrera G√≥mez, Enrique",1844,1922,Spain,,opera.stanford,,"Barrera G√≥mez, Enrique"
"Barri√®re, Etienne-Bernard-Joseph","Barri√®re, Etienne-Bernard-Joseph",1748,1816,France,,opera.stanford,,"Barri√®re, Etienne-Bernard-Joseph"
"Barrios Fernandez, Angel","Barrios Fernandez, Angel",1882,1964,Spain,,opera.stanford,,"Barrios Fernandez, Angel"
"Barry, ",Barry,1952,,Ireland,Male,operabase,Barry,
"Bart√≥k, B√©la","Bart√≥k, B√©la",1881,1945,Hungary,,opera.stanford,,"Bart√≥k, B√©la"
"Bartay, Andr√°s","Bartay, Andr√°s [Andreas]",1799,1854,Germany,,opera.stanford,,"Bartay, Andr√°s [Andreas]"
"Bartels, Wolfgang von","Bartels, Wolfgang von",1883,1938,Germany,,opera.stanford,,"Bartels, Wolfgang von"
"Barth, Hans","Barth, Hans",1897,1956,Germany,,opera.stanford,,"Barth, Hans"
"Barth√©l√©mon, Fran√ßois-Hippolyte","Barth√©l√©mon, Fran√ßois-Hippolyte",1741,1808,France,,opera.stanford,,"Barth√©l√©mon, Fran√ßois-Hippolyte"
"Barthe, Grat-Norbert","Barthe, Grat-Norbert",1828,1898,France,,opera.stanford,,"Barthe, Grat-Norbert"
"Bartlett, Homer Newton","Bartlett, Homer Newton",1845,1920,United States,,opera.stanford,,"Bartlett, Homer Newton"
"Bartolozzi, Bruno","Bartolozzi, Bruno",1911,1980,Italy,,opera.stanford,,"Bartolozzi, Bruno"
"Bartos, Frantisek","Bartos, Frantisek",1905,1973,Czechia,,opera.stanford,,"Bartos, Frantisek"
"Bartos, Jan Zdenek","Bartos, Jan Zdenek",1908,1981,Czechia,,opera.stanford,,"Bartos, Jan Zdenek"
"Baseggio {Basseggio, Lorenzo","Baseggio {Basseggio], Lorenzo",1660,1714,Italy,,opera.stanford,,"Baseggio {Basseggio], Lorenzo"
"Baselt, Fritz","Baselt, Fritz (Friedrich Gustav Otto)",1863,1931,Germany,,opera.stanford,,"Baselt, Fritz (Friedrich Gustav Otto)"
"Basevi, Abramo","Basevi, Abramo",1818,1885,Italy,,opera.stanford,,"Basevi, Abramo"
"Basili, Francesco","Basili [Basilii, Basilj, Basily], Francesco",1767,1850,Italy,,opera.stanford,,"Basili [Basilii, Basilj, Basily], Francesco"
"Basner, Veniamin","Basner, Veniamin (Efimovich)",1925,,Russia,,opera.stanford,,"Basner, Veniamin (Efimovich)"
"Bassani, Giovanni Battista","Bassani [Bassano, Bassiani], Giovanni Battista",1647,1716,Italy,,opera.stanford,,"Bassani [Bassano, Bassiani], Giovanni Battista"
"Bastianelli, Giannotto","Bastianelli, Giannotto",1883,1927,Italy,,opera.stanford,,"Bastianelli, Giannotto"
"Baszny, J√≥zef","Baszny [Baschny], J√≥zef",,1862,Ukraine,,opera.stanford,,"Baszny [Baschny], J√≥zef"
"Bates, William","Bates, William [Jack Catch]",,,United Kingdom,,opera.stanford,Bates,"Bates, William [Jack Catch]"
"Bath, Hubert","Bath, Hubert",1883,1945,United Kingdom,,opera.stanford,,"Bath, Hubert"
"Bati, Luca","Bati, Luca",1550,1608,Italy,,opera.stanford,,"Bati, Luca"
"Batin, Dmitry",Batin Dmitry,,,Russia,Male,operabase,Batin,
"Battishill, Jonathan","Battishill, Jonathan",1738,1801,United Kingdom,,opera.stanford,,"Battishill, Jonathan"
"Battistelli, ",Battistelli,1953,,Italy,Male,operabase,Battistelli,
"Battistini, Giacomo","Battistini, Giacomo",1665,1719,Italy,,opera.stanford,,"Battistini, Giacomo"
"Batton, D√©sir√©-Alexandre","Batton, D√©sir√©-Alexandre",1798,1855,France,,opera.stanford,,"Batton, D√©sir√©-Alexandre"
"Bauld, Alison","Bauld, Alison (Margaret)",1944,,Australia,,opera.stanford,,"Bauld, Alison (Margaret)"
"Baumann, Max Georg","Baumann, Max Georg",1917,1999,Germany,,opera.stanford,,"Baumann, Max Georg"
"Baumgarten, Karl Friedrich","Baumgarten, Karl [Carl] Friedrich",1740,1824,Germany,,opera.stanford,,"Baumgarten, Karl [Carl] Friedrich"
"Baumgartner, ",Baumgartner,1959,,Austria,Male,operabase,Baumgartner,
"Baussnern, Waldemar von","Baussnern [Bausznern], Waldemar von",1866,1931,Germany,,opera.stanford,,"Baussnern [Bausznern], Waldemar von"
"Bautista, Juli√°n","Bautista, Juli√°n",1901,1961,Spain,,opera.stanford,,"Bautista, Juli√°n"
"Bayer, Josef","Bayer, Josef [Joseph]",1852,1913,Austria,,opera.stanford,,"Bayer, Josef [Joseph]"
"Bazin, Fran√ßois","Bazin, Fran√ßois(-Emmanuel-Joseph)",1816,1878,France,,opera.stanford,,"Bazin, Fran√ßois(-Emmanuel-Joseph)"
"Bazzini, Antonio","Bazzini, Antonio",1818,1897,Italy,,opera.stanford,,"Bazzini, Antonio"
Beach,Beach [,1867,1944,United States,,opera.stanford,,Beach [
"Beach, John Parsons","Beach, John Parsons",1877,1953,United States,,opera.stanford,Beach,"Beach, John Parsons"
"Beaulieu, D√©sir√©","Beaulieu [Martin, Martin-Beaulieu], (Marie-)D√©sir√©",1791,1863,France,,opera.stanford,,"Beaulieu [Martin, Martin-Beaulieu], (Marie-)D√©sir√©"
"Beaumarchais, Pierre-Augustin","Beaumarchais [Caron], Pierre-Augustin [Caron de]",1732,1799,France,,opera.stanford,,"Beaumarchais [Caron], Pierre-Augustin [Caron de]"
"Beauvarlet-Charpentier, Jacques-Marie","Beauvarlet-Charpentier, Jacques-Marie",1766,1834,France,,opera.stanford,,"Beauvarlet-Charpentier, Jacques-Marie"
"Becerra, Gustavo","Becerra(-Schmidt), Gustavo",1925,,Chile,,opera.stanford,,"Becerra(-Schmidt), Gustavo"
"Bechgaard, Julius","Bechgaard, Julius",1843,1917,Denmark,,opera.stanford,,"Bechgaard, Julius"
"Beck, Franz Ignaz","Beck, Franz [Fran√ßois] Ignaz",1734,1809,Germany,,opera.stanford,,"Beck, Franz [Fran√ßois] Ignaz"
"Beck, Jeremy Howard",Beck Jeremy Howard,,,United States,Male,operabase,Beck,
"Becker, Albert","Becker, Albert (Ernst Anton)",1834,1899,Germany,,opera.stanford,,"Becker, Albert (Ernst Anton)"
"Becker, Constantin Julius","Becker, Constantin Julius",1811,1859,Germany,,opera.stanford,,"Becker, Constantin Julius"
"Becker, John J","Becker, John J(oseph)",1886,1961,United States,,opera.stanford,,"Becker, John J(oseph)"
"Beckmann, Johann Friedrich Gottlieb","Beckmann, Johann Friedrich Gottlieb",1737,1792,Germany,,opera.stanford,,"Beckmann, Johann Friedrich Gottlieb"
"Beckwith, John","Beckwith, John",1927,,Canada,,opera.stanford,,"Beckwith, John"
"Bedford, David","Bedford, David (Vickerman)",1937,,United Kingdom,,opera.stanford,Bedford,"Bedford, David (Vickerman)"
"Bedford, Herbert","Bedford, Herbert",1867,1945,United Kingdom,,opera.stanford,,"Bedford, Herbert"
"Beecher, ",Beecher,1980,,United States,Male,operabase,Beecher,
"Beecke, Ignaz von","Beecke, (Notger) Ignaz (Franz) von",1733,1803,Germany,,opera.stanford,,"Beecke, (Notger) Ignaz (Franz) von"
"Beecroft, Norma","Beecroft, Norma",1934,,Canada,,opera.stanford,,"Beecroft, Norma"
"Beer-Walbrunn, Anton","Beer-Walbrunn, Anton",1864,1929,Germany,,opera.stanford,,"Beer-Walbrunn, Anton"
"Beeson, Jack","Beeson, Jack (Hamilton)",1921,2010,United States,,opera.stanford,Beeson,"Beeson, Jack (Hamilton)"
"Beethoven, Ludwig van","Beethoven, Ludwig van",1770,1827,Germany,,opera.stanford,Beethoven,"Beethoven, Ludwig van"
"Beffroy de Reigny, Louis-Abel","Beffroy de Reigny, Louis-Abel",1757,1811,France,,opera.stanford,,"Beffroy de Reigny, Louis-Abel"
"Behm, Eduard","Behm, Eduard",1862,1946,Poland,,opera.stanford,,"Behm, Eduard"
"Behrend, Fritz","Behrend, (Gustav) Fritz",1889,1972,Germany,,opera.stanford,,"Behrend, (Gustav) Fritz"
"Beilschmidt, Curt","Beilschmidt, Curt",1886,1962,Germany,,opera.stanford,,"Beilschmidt, Curt"
"Beimel, ",Beimel,1967,,Germany,Male,operabase,Beimel,
"Bekku, Sadao","Bekku, Sadao",1922,,Japan,,opera.stanford,,"Bekku, Sadao"
"Bell, W",Bell W,1980,,United Kingdom,Male,operabase,Bell,
"Bell, W H","Bell, W(illiam) H(enry)",1873,1946,United States,,opera.stanford,,"Bell, W(illiam) H(enry)"
"Bella, J√°n Levoslav","Bella, J√°n Levoslav [Johann Leopold]",1843,1936,Slovakia,,opera.stanford,,"Bella, J√°n Levoslav [Johann Leopold]"
"Belli, Domenico","Belli, Domenico",1590,1627,Italy,,opera.stanford,,"Belli, Domenico"
"Bellini, Vincenzo","Bellini, Vincenzo (Salvatore Carmelo Francesco)",1801,1835,Italy,,opera.stanford,Bellini,"Bellini, Vincenzo (Salvatore Carmelo Francesco)"
"Bellisario, ",Bellisario,1932,,Italy,Male,operabase,Bellisario,
"Bemberg, Herman","Bemberg, Herman",1859,1931,France,,opera.stanford,,"Bemberg, Herman"
"Benatzky, Ralph","Benatzky, Ralph [Rudolf Josef Frantisek]",1884,1957,Czechia,,opera.stanford,Benatzky,"Benatzky, Ralph [Rudolf Josef Frantisek]"
"Bencini, Giuseppe","Bencini, Giuseppe",,,Italy,,opera.stanford,,"Bencini, Giuseppe"
"Benda, Friedrich","Benda, Friedrich (Wilhelm Heinrich)",1745,1814,Germany,,opera.stanford,Benda,"Benda, Friedrich (Wilhelm Heinrich)"
"Benda, Friedrich Ludwig","Benda, Friedrich Ludwig",1752,1792,Germany,,opera.stanford,,"Benda, Friedrich Ludwig"
"Benda, Georg","Benda, Georg (Anton) [Jir√≠ Anton√≠n]",1722,1795,Slovakia,,opera.stanford,,"Benda, Georg (Anton) [Jir√≠ Anton√≠n]"
"Benders, ",Benders,1986,,Netherlands,Male,operabase,Benders,
"Bendl, Karel","Bendl, Karel [Karl]",1838,1897,Czechia,,opera.stanford,,"Bendl, Karel [Karl]"
Benedict,Benedict,,,United Kingdom,,opera.stanford,,Benedict
"Benelli, Antonio Peregrino","Benelli, Antonio Peregrino [Pellegrino]",1771,1830,Italy,,opera.stanford,,"Benelli, Antonio Peregrino [Pellegrino]"
"BenesJara, ",BenesJara,1897,1949,Czechia,Male,operabase,BenesJara,
"Benincori, Angelo Maria","Benincori, Angelo Maria",1779,1821,Italy,,opera.stanford,,"Benincori, Angelo Maria"
"Benjamin, Arthur","Benjamin, Arthur",1893,1960,Australia,,opera.stanford,,"Benjamin, Arthur"
"BenjaminG, ",BenjaminG,1960,,United Kingdom,Male,operabase,BenjaminG,
"Bennett, Richard Rodney","Bennett, Richard Rodney",1936,2012,United Kingdom,,opera.stanford,,"Bennett, Richard Rodney"
"Bennett, Robert Russell","Bennett, Robert Russell",1894,1981,United States,,opera.stanford,,"Bennett, Robert Russell"
"Beno√Æt, Camille","Beno√Æt, Camille",1851,1923,France,,opera.stanford,,"Beno√Æt, Camille"
"Beno√Æt, Peter","Beno√Æt, Peter (L√©opold L√©onard)",1834,1901,Belgium,,opera.stanford,,"Beno√Æt, Peter (L√©opold L√©onard)"
"Benoist, Fran√ßois","Benoist, Fran√ßois",1794,1878,France,,opera.stanford,,"Benoist, Fran√ßois"
"Bentoiu, Pascal","Bentoiu, Pascal",1927,,Romania,,opera.stanford,,"Bentoiu, Pascal"
"Bentzon, J√∏rgen","Bentzon, J√∏rgen (Liebenberg)",1897,1951,Denmark,,opera.stanford,,"Bentzon, J√∏rgen (Liebenberg)"
"Bentzon, Niels Viggo","Bentzon, Niels Viggo",1919,2000,Denmark,,opera.stanford,,"Bentzon, Niels Viggo"
"Benvenuti, Giacomo","Benvenuti, Giacomo",1885,1943,Italy,,opera.stanford,,"Benvenuti, Giacomo"
"Benvenuti, Nicola","Benvenuti, Nicola [Niccolino]",1783,1867,Italy,,opera.stanford,,"Benvenuti, Nicola [Niccolino]"
"Benvenuti, Tommasso","Benvenuti, Tommasso",1838,1906,Italy,,opera.stanford,,"Benvenuti, Tommasso"
"Berens, Hermann","Berens, (Johann) Hermann",1826,1880,Germany,,opera.stanford,,"Berens, (Johann) Hermann"
"Berezovsky, Maxim","Berezovsky, Maxim [Maximus] (Sozontovich)",1745,1777,Ukraine,,opera.stanford,,"Berezovsky, Maxim [Maximus] (Sozontovich)"
"Berezowsky, Nicolai","Berezowsky [Berezovsky], Nicolai [Nikolay] (Tikhonovich)",1900,1953,Russia,,opera.stanford,,"Berezowsky [Berezovsky], Nicolai [Nikolay] (Tikhonovich)"
"Berg, Alban","Berg, Alban (Maria Johannes)",1885,1935,Austria,,opera.stanford,Berg,"Berg, Alban (Maria Johannes)"
"Berg, George","Berg, George [Georg?]",1735,1775,United Kingdom,,opera.stanford,,"Berg, George [Georg?]"
"Berg, Josef","Berg, Josef",1927,1971,Czechia,,opera.stanford,,"Berg, Josef"
"Berg, Natanael","Berg [Rexroth-Berg], (Carl) Natanael",1879,1957,Sweden,,opera.stanford,,"Berg [Rexroth-Berg], (Carl) Natanael"
"Berger, Francesco","Berger, Francesco",1834,1933,United Kingdom,,opera.stanford,,"Berger, Francesco"
"BergerJ, ",BergerJ,1954,,United States,Male,operabase,BergerJ,
"Berggreen, Andreas Peter","Berggreen, Andreas Peter",1801,1880,Denmark,,opera.stanford,,"Berggreen, Andreas Peter"
"Bergh, Arthur","Bergh, Arthur",1882,1962,United States,,opera.stanford,,"Bergh, Arthur"
"Bergiron, Nicolas-Antoine,","Bergiron [Bergiron de Briou], Nicolas-Antoine,",1690,1768,France,,opera.stanford,,"Bergiron [Bergiron de Briou], Nicolas-Antoine,"
"Bergman, Erik","Bergman, Erik",1911,2006,Finland,,opera.stanford,,"Bergman, Erik"
"Bergsma, William","Bergsma, William (Laurence)",1921,1994,United States,,opera.stanford,,"Bergsma, William (Laurence)"
"Bergson, Michal","Bergson [Bergsohn], Michal",1820,1898,Poland,,opera.stanford,,"Bergson [Bergsohn], Michal"
