,Work,Theatre,City,country,date
990,The Threepenny Opera,Manning Entertainment Centre,Taree,NSW,2003-06-25 00:00:00
991,The Threepenny Opera,Railway Street Theatre,Penrith,NSW,2003-06-20 00:00:00
992,The Possessed,Chapel Off Chapel,Prahran,VIC,2003-06-12 00:00:00
993,La Traviata,Athenaeum Theatre,Melbourne,VIC,2003-06-05 00:00:00
994,La Boheme,Old Goulburn Brewery,Goulburn,NSW,2003-05-31 00:00:00
995,Cavalleria Rusticana and I Pagliacci,Festival Theatre,Adelaide,SA,2003-05-24 00:00:00
996,1975: A Populist Opera,North Melbourne Town Hall,North Melbourne,VIC,2003-05-20 00:00:00
997,The Sound Garden,Bunbury Regional Entertainment Centre,Bunbury,WA,2003-05-18 00:00:00
998,Is There A Tenor In the House?,The Opera Studio,Netley,SA,2003-05-18 00:00:00
999,Tosca,Lyric Theatre,South Brisbane,QLD,2003-05-17 00:00:00
1000,The Merry Widow,Capitol Theatre,Haymarket,NSW,2003-05-14 00:00:00
1001,Elijah,Concert Hall (Sydney Opera House),Sydney,NSW,2003-05-09 00:00:00
1002,Carmen,State Theatre,Melbourne,VIC,2003-05-07 00:00:00
1003,La Boheme,Comedy Theatre,Melbourne,VIC,2003-05-03 00:00:00
1004,Such a Storm,The Butter Factory Theatre,Wodonga,VIC,2003-05-02 00:00:00
1005,The Sound Garden,Metropolitan and regional primary schools; various,Various Victorian locations,VIC,2003-05-01 00:00:00
1006,Madama Butterfly,State Theatre,Melbourne,VIC,2003-04-24 00:00:00
1007,Operalites: The Love of Three Oranges,Horti Hall Gallery,Melbourne,VIC,2003-04-13 00:00:00
1008,Lulu,State Theatre,Melbourne,VIC,2003-04-11 00:00:00
1009,Lucia di Lammermoor,State Theatre,Melbourne,VIC,2003-04-09 00:00:00
1010,Tales of Hoffmann,New South Wales,,NSW,2003-04-05 00:00:00
1011,The Sorcerer,Rockdale Town Hall,Rockdale,NSW,2003-04-05 00:00:00
1012,Cinderella,Wrest Point Hotel Casino Tasman Room,Sandy Bay,TAS,2003-04-01 00:00:00
